"Finalidad","Función","Subfunción","COFOG"
1,1,1,"01.1.1"
1,1,2,"01.1.2"
1,3,1,"01.1.1"
1,3,4,"01.1.1"
1,6,3,"02.5.0"
1,2,1,"03.3.0"
1,3,2,"01.1.1"
1,8,3,"01.3.3"
1,7,2,"03.6.0"
1,3,7,"01.3.2"
2,4,4,"08.4.0"
1,7,3,"03.6.0"
1,7,1,"03.1.0"
1,7,4,"03.6.0"
1,2,4,"03.3.0"
1,2,3,"03.4.0"
1,2,2,"03.3.0"
1,4,1,"01.1.3"
1,5,2,"01.1.2"
1,5,1,"01.1.2"
1,8,5,"01.3.3"
2,6,7,"10.7.0"
3,2,6,"04.2.1"
2,7,1,"10.9.0"
1,6,1,"02.5.0"
2,5,1,"09.8.0"
2,5,2,"09.2.2"
2,5,3,"09.4.2"
2,3,2,"07.4.0"
3,2,1,"04.2.1"
3,8,1,"09.7.0"
2,5,4,"09.4.2"
3,2,3,"04.2.3"
3,8,3,"09.7.0"
3,8,2,"09.7.0"
3,8,4,"09.7.0"
3,5,6,"04.5.5"
3,6,1,"04.6.0"
3,5,1,"04.5.1"
3,5,4,"04.5.4"
3,5,3,"04.5.3"
3,5,2,"04.5.2"
3,1,1,"04.1.1"
3,4,1,"04.4.1"
2,5,6,"09.8.0"
2,5,5,"09.5.0"
2,4,2,"08.2.0"
2,4,1,"08.1.0"
2,3,4,"07.4.0"
2,3,3,"07.6.0"
2,3,1,"07.4.0"
2,3,5,"07.6.0"
2,6,8,"10.7.0"
1,6,2,"02.5.0"
3,1,2,"04.1.2"
2,2,5,"06.1.0"
2,2,1,"06.2.0"
2,2,7,"06.2.0"
2,1,6,"05.6.0"
2,1,4,"05.3.0"
2,1,5,"05.4.0"
2,1,2,"06.3.0"
2,1,3,"05.2.0"
3,2,5,"04.2.1"
2,2,3,"06.3.0"
3,2,2,"04.2.2"
3,3,4,"04.3.4"
3,3,5,"04.3.5"
3,3,2,"04.3.2"
3,3,3,"04.3.3"
2,6,2,"10.2.0"
2,6,9,"10.9.0"
3,7,1,"04.7.3"
1,3,6,"01.6.0"
4,1,1,"01.7.0"
4,1,2,"01.7.0"
1,3,3,"01.3.3"
4,2,2,"01.8.0"
4,4,1,"01.1.2"
4,3,2,"01.1.2"
4,3,3,"01.1.2"
4,3,4,"01.1.2"
1,3,5,"01.1.1"
1,8,2,"01.3.3"
1,8,4,"01.3.3"
2,6,3,"10.4.0"
2,6,1,"10.9.0"
2,6,6,"10.6.0"
1,3,9,"01.1.1"
